text,offensive,insult,obscene,ideology,lgbtqphobia,racism,sexism,xenophobia
"@user @user Pra mim o melhor é ele terminar esses 4 anos e no próximo ano vir alguém novo...menos polarizado, vc sabe que se o Lula ganhar mesmo essas eleiçoes e der merda, vai dar Bolsonaro dnv em 2026 e com força total",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user Prefiro um Getúlio Vargas mesmo, até a esquerda mais radical concorda que o lula é vendido, assim como a direita mais radical concorda que Bolsonaro é um vendido também.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
meu Deus da uma hora pro Haddad continuar falando... quanto mais ele fala mais o Bolsonaro ganha voto em SP.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bozo, propõem alguma coisa, please. O teu governo fez tudo de bom e tu não sabe explicar nada?!",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user @user @user assisti várias vezes. Vocês sempre vão dizer que é tirado de contexto, mas não é. Tirou sarro da cara de milhares de pessoas que estavam MORRENDO, mas você prefere defender seu ""deus genocida"".
Ele não passa de um preconceituoso que dissemina ódio desde sempre.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PARECE MALDIÇÃO O MESSIAS OU BARRABÁS E O povo FICOU COM O LADRÃO! Espero Que Aqui O Povo Que Lê A Bíblia entenda não deve apoiar LADRÃO SÓ DA MORTE E DESTRUIÇÃO!,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
@user Vaza para Paris e leva o Bozo com vcs,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user É isso, pra vcs verem que beleza não representa inteligência kkkkk 
Uma mulher linda, que diz que estuda e vota no Bolsonaro mesmo assim. Certeza que as notas de história eram vermelhas",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
"Relato das Venezuelanas que receberam á visita do nosso querido PR Jair Bolsonaro, repassem ao máximo para destruirmos juntos á NARRATIVA da ESQUERDA.🇧🇷 A verdade sempre aparece!",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
@user Temer não é um vampiro?? Por que ele apoia o mito???,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pessoal tou fazendo uma pesquisa para meu TCC (sqn). O que tem em comum entre Bozo e Robinho?,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@user eu entendi o que você quis dizer meu bem mas o que botou a gnt no segundo turno não foi os votos pro léo, ele teve somente 50 mil votos. os votos nulos foram milhares além dos que votaram na simone, que é farinha do mesmo saco que o bolsonaro, ciro, soraya, luiz, até o padre teve",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@user BOLSONARISMO MATA E ESTUPRA

FORA PEDÓFILO DA REPÚBLICA
 

Ditador elogiado por Jair Bolsonaro era corrupto e estuprava meninas",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user @user Sabe quem foi contra q vc ficasse em casa na pandemia? Sabe quem quis fechar os estabelecimentos com a política do “fique em casa”? A esquerda. Bolsonaro foi contra isso! Vamos la, mas agr vc falar q a guerra n afetou o Brasil???? Vc acha msm isso? A guerra afetou o mundo todo.",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"@user @user PT do Lula é NEOLIBERAL/SOCIALISTA/COMUNISTA: 
Representa IGUAIS! Representa POBREZA!
PL do Bolsonaro é LIBERAL/CONSERVADOR: 
Representa LIBERDADE! Representa RIQUEZA! 
ESCOLHO A LIBERDADE E A RIQUEZA, E VOCÊ? 
Agora é 22!",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
@user @user E as mentiras que ela conta no programa do Bozo sobre o começo da vacinação sendo que a primeira vacina foi comprada pelo Doria?,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Importante que o TSE equacione esse desequilíbrio urgentemente, de forma a não ter que postergar as eleições!
Assim, deveria suspender as inserções do 🦑 até 6a feira e compensar colocando inserções do Mito … se mesmo assim não suficiente, abrir inserções para Mito no sábado!!!",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bolsonaro além de PEDÓFILO é ABORTISTA... Sabe até o nome do remédio... 
Levou uma sova do Lula!!",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
@user @user @user Bolsonaro apoia o estuprador Robinho!!!!,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
@user @user Fugir não tem como. O problema é se eleger falando que não vai continuar se vendendo pro centrão e depois se declarar: do centrão. Eu não sei como vcs não se sentem idiotas de serem enganados por um senhor tão ignorante como ele.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@user 24 horas depois do debate de ontem e já sabemos:

- seu combate a corrupção é seletiva
- seu único objetivo como juiz da lava-jato foi prender lula 
- vc voltou pro bozo com o rabo entre as pernas pq n tem força alguma sozinho
- q se existe um poço, você está lá no fundo",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@user Não se preocupe, o Bozo ficará em boa companhia.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Se o temer não fosse da laia do Bolsonaro, ele não apoiaria o impeachment, são 6 anos de governo de direita, proposta da reforma da previdência surgiu com o temer e ele traiu a Dilma assim como o moro traiu o bolsonaro.",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
"andando na rua ai do nada um senhor parando todo mundo q passva por ele pra falar: ""quem vota em bolsonaro é um cachorro safado"" KKKKKKKK n aguentei nao",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DENÚNCIA GRAVÍSSIMA! ENTÃO O bolsonaro de 💩 PODE CORROMPER CRIANÇAS E FICAR IMPUNE?
VOCÊS NÃO VÃO PUNIR ESSE bolsonaro CRIMINOSO, Srs. @user E DEMAIS MINISTROS DO @user ?",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user é mesmo? então bonoro é equivalente ao lulladrão carniça??
vais fazer o quê? anular o voto??",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user ""Parei na esquina, tirei o capacete e olhei umas meninas, 3 ou 4, bonitas. De 14 ou 15 anos arrumadinhas em pleno sábado em uma comunidade. PINTOU UM CLIMA, voltei e perguntei : Posso entrar na sua casa?” - Jair Bolsonaro.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@user @user @user Bolsonaro não comeu CARNE HUMANA porque não quiseram ir com ele. E não fez sexo com mulher faminta no Haiti por falta de higiene e porque “não precisou”. Isso dito ao New York Times. (Íntegra da entrevista no canal oficial do presidente. Link abaixo),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"GOSTARIA MUITO QUE PUDESSEMOS IMAGINAR
O AMOR QUE NOSSO PRESIDENTE BOLSONARO TEM POR DEUS, E PELO POVO BRASILEIRO; SÉRIO ELE DÁ A VIDA PELA NOSSA LIBERDADE, EU CHORO, IMAGINO O QUANTO ESSA PESSOINHA ESPECIAL SOFREU, E SOFRE, E SUA FAMÍLIA TAMBÉM!DEUS ABENÇOE A TODOS NÓS!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Não aguento mais essa insuportável, andando de compass com dinheiro do tráfico, é ta ai defendendo Bolsonaro pra cima é pra baixo, preguiça desse povo viu.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
@user @user Força patriota não desista😎👉👉2️⃣2️⃣🇧🇷🇧🇷,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fora Bolsonaro!
Criador de kizumba! Ruim de serviço! Perseguidor de índio! Manipulador do agro. Mentiroso.
Aperta o play!",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
