text,insult,obscene,ideology,lgbtqphobia,racism,sexism,xenophobia
"Pior do que adolescentezinhas de merda...são pessoas que levam filmes tão a sério! O livro/filme é dela, ela faz o que quiser! E por mais ruim que seja, ta rendendo milhões (:",1,1,0,0,0,1,0
"Podia ter beijo também, pra ver se o homofóbicos cortar os pulsos",1,0,0,0,0,0,0
"o monark não é racista que filha da putagem, já sofreram mano, o flow vai cair e já era, bah que foda isso tudo...",1,0,0,0,0,0,0
fudeu minha mãe acabou de chegar em casa e eu acabei de acordar tomei no cu,1,1,0,0,0,0,0
"Vergonha,ainda segura a bandeira de um país de verdade ,não esse puteiro que tá tendo aqui. USER tá preocupado mais com a fama do que com o Brasil, nunca mais verá meu apoio",1,0,1,1,0,0,1
"USER Que vagabunda hipócrita, pq eu beijei as duas então geral se traiu e ela n pode reclamar",1,1,0,0,0,1,0
"""Heterofobismo?"" Pelo que eu saiba héteros nunca foram perseguidos, mortos e torturados por centenas de anos pela sua orientação sexual. Em alguns países do Oriente, gays são presos e , as vezes, mortos só por causa de orientação sexual. Isso NUNCA aconteceu e nem vai acontecer com héteros. A implantação nas escolas da ideia de que existem casais diferentes é ótima! O conhecimento é a arma contra a ignorância e tenho certeza que vai ajudar muitas crianças confusas por aí! ""Heterofobismo?"" Estude mais um pouco antes de abrir a boca e passar vergonha, por favor.",1,0,1,0,0,0,0
USER Jajajajajaja llevan 62 años diciendo lo mismo. Son gente ignorante. URL,1,0,0,0,0,0,0
Pra mim kkkk puta história fantasiosa,1,1,0,0,0,0,0
USER Desgraçado. Mentiroso. Vc acabou com minha dignidade.,1,1,0,0,0,0,0
USER: Ojalá que Lina indique a alguno de los de Disney así aprenden a no ser burros HASHTAG,1,0,0,0,0,0,0
USER Quem abraça ladrão é o que sua bosta?,1,0,1,0,0,0,0
">americas lotado de caboclas gostosas partindo das pálidas até as mais escuras estilo pocahontas>das mais qt's até as mais cavalas >floquinho de neve quer porque quer se enfiar em uma reserva cheia de índio armado caçando ele com hilux pra sujar a genética de um povo que descende apenas de 70 pessoas e tem separação do resto da humanidade de mais de 24k de anosé muita síndrome de floquinho de neve, puta merda.",1,1,0,0,0,1,1
"O diabo é sujo mesmo, ele tem orgulho de contar cada detalhe pra envergonhar mais ainda ela. 🤢",1,0,0,0,0,0,0
USER Ja ta pedindo p ser punida? Sua putinha inutil do caralho cala a boca e eu vou fazer oq quero,1,1,0,0,0,1,0
"Sinceramente, no Brasil o crime compensa,o cara mata a própria filha, de forma cruel, e ainda ta ai livre,que bosta de justiça a nossa!",1,0,1,0,0,0,0
Seu idiota porque vc acertou ele com uma faca,1,1,0,0,0,0,0
"É importante que o homem trate bem as mulheres, mas não acredito que foi isso que conquistou a mulher da questão, pois ela foi parando o carro e chamando pra fazer sexo.",1,1,0,0,0,1,0
Que bosta!!!✌🏽,1,1,0,0,0,0,0
USER USER Hindu santo par atyachar koi aam bat nahi hai gay mata ko kata jaa raha hai koi aam bat nahi hai yeh bharet hai yaha for dalo aur shasan karo is baat ka fayda angrejo aur mugloo ne uthaya tha modi ji ab karo vichar kattee gaye aur kathe hindu kare pukar,1,0,0,0,0,0,0
"O cara é foda, sem comentários. Que riqueza de detalhes. Perfeito. Merece o mundo.",0,1,0,0,0,0,0
"USER pode achar seu principe encantado,mas sempre vai acabar: Gorda,feia,virgem,cheia de poster de crepúsculo a parede!!",1,0,0,0,0,1,0
"USER Quando anunciaram esse dinossauro, dava pulo de raiva depois daquela final com o santo André e ainda por cima com a mão no saco mucho e mostrando para nossa torcida, contrataram esse lixo e agora fica se fazendo de vítima.",1,1,0,0,0,0,0
"USER: USER semejante HIPÓCRITA, vis te sentis seguro por que las pandillas son tus amigos el Salvadoreño promedio vive…",1,0,0,0,0,0,0
