text,homophobia,obscene,insult,racism,misogyny,xenophobia
"Meu nivel de amizade com isis é ela ter meu insta e eu ter o dela, e quando eu penso que não ela manda mensagem “ falano otario ta falando dnv no insta”",0.0,0.0,1.0,0.0,0.0,0.0
"@user @user o cara adultera dados, que foram desmascarados e ainda quer ficar no governo?",0.0,0.0,1.0,0.0,0.0,0.0
"@user @user @user o cara só é simplesmente o maior vencedor da história de futebol, tá com 36 anos e tem gás demais e não um gordo com joelho fodido",0.0,1.0,1.0,0.0,0.0,0.0
eu to chorando vei vai se foder e eu nem staneio izone nem nada,0.0,1.0,0.0,0.0,0.0,0.0
"Eleitor do Bolsonaro é tão ignorante q não percebeu q a frase abaixo significa o seguinte:

“É melhor falar um monte de bosta do que ficar calado”.

Ainda transformaram em imagem bonitinha com citação e data hahhahahahhahahhahah.",0.0,1.0,1.0,0.0,0.0,0.0
@user vai responder as outras 75 conversas e para de cobrar atenção caralho,0.0,1.0,1.0,0.0,0.0,0.0
"tem um do jack com a msm música e agr não sei qual flodar 
grande dia 👍",0.0,0.0,0.0,0.0,0.0,0.0
mais é ruim pra pedir desafio esse técnico do azerbaijão,0.0,0.0,1.0,0.0,0.0,1.0
"@user eu fico vendo isso e penso ""desvantagens do k-pop esta sendo cada vez mais difundido"" o millenium americano ta tão acostumado com gente que não dança e perfomances sem coreografia que quando veem dança de verdade e sincronia fica bugado",0.0,0.0,1.0,0.0,0.0,1.0
"frio do caralho, parece até q to dentro do teu coração",0.0,1.0,1.0,0.0,0.0,0.0
@user o mentiroso,0.0,0.0,1.0,0.0,0.0,0.0
@user onde mexe fede!,0.0,1.0,1.0,0.0,0.0,0.0
"meu filho vem primeiro, ele é minha prioridade!",0.0,0.0,0.0,0.0,0.0,0.0
hoje deu vontade de abraçar minha mãe e chorar o dia inteiro 😔 tpm seja bem vinda.,0.0,0.0,0.0,0.0,0.0,0.0
"Minha conta iria fazer 10 anos, em abril perdeu todos os seguidores, recomeçando, foi suspensa dia 25 de julho.

Enquanto do outro lado, o da criminalidade, pode todos os absurdos, o Povo honesto e trabalhador não pode nada. Não seremos adestrados. Nunca!",0.0,0.0,0.0,0.0,0.0,0.0
"@user não se ele tiver encomendado o ""serviço""",0.0,0.0,0.0,0.0,0.0,0.0
@user @user @user sou a favor de invadir o stf e não chegarmos lá d mãos vazias....😝😝😝,0.0,1.0,1.0,0.0,0.0,0.0
"@user @user Folha de São Paulo pra mim não serve nem pra pendurar no banheiro de posto de gasolina, pegar na mão então nem se fala. Acho que ler fotonovela, se é que ainda existe é mais proveitoso",0.0,0.0,1.0,0.0,0.0,0.0
"@user @user Vc deve ser louca, defendi o INPE na nossa conversa, ou vc é cega, disléxica, achei péssimo a exoneração feita hoje, tenho ciência do bom trabalho q o INPE faz, enfim, não vou perder meu tempo com vc, abraça o DataFolha aí, espere a virada do Haddad ou Ciro no segundo turno kkkkk",0.0,1.0,1.0,0.0,1.0,0.0
"@user nao deixa sua cabeça te fazer de maluca, seu corpo é lindo, assim como todos são dos seus jeitinhos, vai a praia sim eu hein vou dar na sua cara",0.0,1.0,1.0,0.0,0.0,0.0
@user os hormonios pulando...,0.0,1.0,0.0,0.0,0.0,0.0
"hoje é caso dormir cedo
tipo um preso",0.0,0.0,1.0,0.0,0.0,0.0
e nessa loucuraaaaaa de dizer que não te querooooooooo,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user Eu como morador da terra do meio no Pará e conselheiro de 2 UCs, posso falar com segurança que os dados do Inpe, realmente estavam sendo manipulados por ativista travestidos de cientistas pra prejudicar a imagem do governo Bolsonaro! Ontem o ministro Salles provou isso!",1.0,0.0,1.0,0.0,0.0,0.0
bixetes vem logo por favor,0.0,1.0,0.0,0.0,0.0,0.0
"Por outro lado, entre os gestores há um consenso que joga contra o investimento de mais longo prazo. 
Quando provocados, eles são categóricos: se há uma posição que eles não carregariam por 10 anos de olhos fechados é Itaú, ou qualquer outro banco grande.",0.0,0.0,1.0,0.0,0.0,0.0
@user hora de colocar os fatos na mesa,0.0,0.0,0.0,0.0,0.0,0.0
o gambenja. como os gambás contrataram o ruimgil sem ter dinheiro pra pagar as marmita s,0.0,1.0,1.0,0.0,0.0,0.0
1h30 para sair de casa e estou deitada no sofá como se nada fosse,0.0,0.0,0.0,0.0,0.0,0.0
"mano, eu to super de boa, ai penso em certas coisas e já fecho a cara e ninguém entende nd",0.0,0.0,0.0,0.0,0.0,0.0
"@user eu tenho de parar de estar de costas na praia, porque eu fico sempre morena nas costas e à frente pareço um pacote de l…",0.0,0.0,0.0,0.0,0.0,0.0
respeitem só faxavor!,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user Contra fatos não há argumentos, Jair.

É assim que você está ficando conhecido na Europa.",0.0,0.0,0.0,0.0,0.0,0.0
@user @user ahhhhhhhh obg kskskskskskks eu disse q sou horrível com cantadas,0.0,0.0,0.0,0.0,0.0,0.0
"viva a vida enquanto vc esta vivo, pq dps que vc morrer, n vivera mais",0.0,0.0,0.0,0.0,0.0,0.0
"@user @user @user Vc só pensa no Coaf. Acorda alice! Acha mesmo que a PF está engessada somente numa linha de investigação? Achei que como jornalista, era mais esperta.",0.0,0.0,1.0,0.0,1.0,0.0
homens feios porem bonitos??¿,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user Não fale pelo povo nordestino. Sou maranhense, moro no Maranhão e não me importei nem um pouco. Sai da bolha, otário. Eu queria mesmo era dar um abraço e agradecer ao meu Presidente pelo que tem feito. Ah! E detesto maconha!",0.0,0.0,1.0,0.0,0.0,1.0
passando calor aqui na loja,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user putz, e sex tape não dá pra gravar todo dia...",0.0,1.0,0.0,0.0,0.0,0.0
"@user Vc só esqueceu de mencionar, que a turma do bem, agrediu o ministro na presença de suas crianças. Cabe BO, segundo o estatuto do ECA. É covardia, que chama?",0.0,0.0,1.0,0.0,0.0,0.0
@user tao linda parece eu,0.0,0.0,0.0,0.0,0.0,0.0
@user @user @user @user e o queiroz ninguém acha??!!🤔🤔,0.0,0.0,0.0,0.0,0.0,0.0
eu amo um homem,0.0,0.0,0.0,0.0,0.0,0.0
@user fazendo meu papel de bom amigo marcando keylla em 300 memes ❤️,0.0,0.0,0.0,0.0,0.0,0.0
"📺VÍDEO NOVO, TURMA!

FOTO DE BOA LACRADOR NÃO PERDOA



✔Entenda por que a chorumesfera atacou com tanta truculência uma adolescente que apenas postou uma foto de uma viagem escolar!

(E compartilha pra tentar reverter o dano que causaram)",0.0,1.0,1.0,0.0,0.0,0.0
"fazendo amor
botando pra moer
so eu y voce",0.0,1.0,0.0,0.0,0.0,0.0
"O candidato dos ricos que fez a campanha mais pobre da história e o mais atacado por todos
-O político mais burro (insulto), pois anuncia seus principais ministros antes mesmo do fim do primeiro turno, não deixando margens para negociatas no segundo turno",0.0,0.0,1.0,0.0,0.0,0.0
"@user eu ri, mas eu quero kkk",0.0,0.0,0.0,0.0,0.0,0.0
1 mês certinho para 18 anos,0.0,0.0,0.0,0.0,0.0,0.0
"mais sonsa que a minha mãe só duas dela, ela fez eu postar foto dela no facebook e fez a kátia cega no comentário kkkkkkkkkkkkkkk q odio",0.0,0.0,1.0,0.0,1.0,0.0
@user incrivel como essa foto só fica melhor a cada vez que eu vejo,0.0,0.0,0.0,0.0,0.0,0.0
"@user Precisamos ficar atentos. Os métodos utilizados pela Lava Jato ñ foram nada ortodoxos. Houve claramente um pacto de mediocridade entre as instituições brasileiras. Realmente, é preciso estar atento e JAMAIS esmorecer. Muito obrigada pelo seu trabalho Demori 👊🏼",0.0,0.0,0.0,0.0,0.0,0.0
@user @user uma jóia de nióbio que n vale quase nada,0.0,0.0,0.0,0.0,0.0,0.0
"Desgoverno da destruição, esconde dados !. estamos sendo enganados e roubados de todos lados e agora a certeza que esses covardes vão manipular dados para apresentação da falsa realmente.. até o presente mostrar o contrário a destruição visível do país.!.",0.0,0.0,1.0,1.0,0.0,0.0
nossa velho 2019 e vcs nessa ainda puta que pariu,0.0,1.0,0.0,0.0,0.0,0.0
@user aí levizinho cidade perfeita e pretendo voltar logo maisssss,0.0,0.0,0.0,0.0,0.0,0.0
é foda,0.0,1.0,0.0,0.0,0.0,0.0
8 coisas que os homens fazem apenas com a mulher que amam,0.0,0.0,0.0,0.0,0.0,0.0
esses vascainos são uma piada kkkkm,0.0,0.0,1.0,0.0,0.0,0.0
"Segue minha página de shitpost @user
Mas é de humor negro/shitpost então se tu não gosta sai

Eu divido essa página com a minha melhor amiga segue ela tbm @user :&gt;",0.0,1.0,1.0,1.0,0.0,0.0
@user quando começar os temporais eu vou viver na tua casa vlh,0.0,0.0,0.0,0.0,0.0,0.0
@user parabéns tá muito ruim,0.0,0.0,1.0,0.0,0.0,0.0
"Papo reto aqui
Se você usa ou pensa em usar isso aqui como argumento a favor do aborto, saiba que você é L-I-X-O, ideias comparáveis as de Hitler 

Pra você é melhor e mais fácil evitar que pessoas pobres (geralmente minorias raciais) nasçam do que diminuir índices de pobreza",0.0,1.0,1.0,0.0,0.0,0.0
posso chamar então? — pode sim,0.0,0.0,0.0,0.0,0.0,0.0
"De vez em quando a escola é um lugar bom, só o professor de matemática torceu o nariz, de resto fui bem recebida por todo mundo, todos fazendo questão de ajudar. Filho custa caro, gentes ❤️",0.0,0.0,0.0,0.0,0.0,0.0
"@user @user @user @user @user @user @user mas pra ela pode ser tudo, precisa mto",0.0,0.0,0.0,0.0,0.0,0.0
"mano, meu tio me ligou agr e quase tive um ataque kkkkkkkkkkk pensei que tinha feito merda",0.0,1.0,0.0,0.0,0.0,0.0
@user @user Parece que o cara mora no suvaco do @user e saiu rapidinho só pra manda a galera toma no cu e já vai voltar pra dentro de casa.,0.0,1.0,1.0,0.0,0.0,0.0
"@user muita cautela pra saber quem tá contigo, nem toda mão estendida é de coração",0.0,0.0,0.0,0.0,0.0,0.0
"se não sente falta das meninas não? — mn não sei, acho que foi melhor assim se for pra volta o tempo vai resolver.",0.0,0.0,0.0,0.0,0.0,0.0
@user boa noite pra quem tem os dois melhores laterais do futebol brasileiro.,0.0,0.0,0.0,0.0,0.0,0.0
"@user É tá??? Porque não foi faz tempo cuidar dela? E ficou aí perdendo seu tempo em atacar pessoas do bem.? Vc é seu macho não passam de terroristas. Sumam do Brasil, aqui não é sua terra Sr. Gleen.",0.0,1.0,1.0,0.0,0.0,1.0
preciso de outra companhia pra ir pra academia pq o matheus é a mesma coisa que nada,0.0,0.0,1.0,0.0,0.0,0.0
@user @user olha quem fala,0.0,0.0,1.0,0.0,0.0,0.0
me paga um boquete? 😮 — not,0.0,1.0,1.0,0.0,0.0,0.0
as vezes as pessoa fala sobre amar o yoongi e eu fico kkkk thats cute,0.0,0.0,0.0,0.0,0.0,0.0
"@user pelo que havia entendido, a conta fazia a somatória dos dois (tv paga e tv aberta).",0.0,0.0,0.0,0.0,0.0,0.0
"@user foda o ser humano e sua síndrome de seguir as coisas só por seguir ao invés de fazer uma reflexão real sobre elas
mundão tá osso",0.0,1.0,0.0,0.0,0.0,0.0
"amigos de bh, alguém pelamorde deus me chama prum rolê hoje?!?!
tô querendo beber, dançar e curtir um bocado a noite hoje, minhajudem!",0.0,0.0,0.0,0.0,0.0,0.0
ate segui o meu mo babados do matriz p n perder nada,0.0,0.0,0.0,0.0,0.0,0.0
tô vendo que vou chorar igual uma criancinha,0.0,0.0,0.0,0.0,0.0,0.0
puts só queria estar no barão agora,0.0,0.0,0.0,0.0,0.0,0.0
os cria vai piar aq em casa p ver vingadores 🤩,0.0,0.0,0.0,0.0,0.0,0.0
"@user salgado. se tirar o sal, fica você.",0.0,0.0,1.0,0.0,0.0,0.0
"@user bem.... ainda faltam 2 anos pra acabar, há esperança",0.0,0.0,0.0,0.0,0.0,0.0
eu tenho a sensação as vezes de que eu vim nessa vida só pra me fuder,0.0,1.0,0.0,0.0,0.0,0.0
aliás 15h e ainda sem almoçar,0.0,0.0,0.0,0.0,0.0,0.0
@user e vamos resolver de certeza,0.0,0.0,0.0,0.0,0.0,0.0
@user estudar pra ganhar na vida como a anitta,0.0,0.0,0.0,0.0,0.0,0.0
@user dourados kkkkk,0.0,0.0,0.0,0.0,0.0,0.0
@user pq a boca foi feita pra falar .,0.0,0.0,1.0,0.0,0.0,0.0
"Nomes dos suspeitos de invadir celular do ministro Sérgio Moro serão divulgados amanhã, ao meio-dia. Os quatro presos (3 homens e 1 mulher) em SP estão sendo levados para Brasília onde prestarão depoimento ainda hoje. Mais aqui:",0.0,0.0,0.0,0.0,0.0,0.0
"eu mando algo relacionado a turismo aqui em fortaleza pra lysandra e ela pergunta ""que que tem?""",0.0,0.0,0.0,0.0,0.0,0.0
@user @user saudade ladrão fica com deus pitbull de raça 💔😭,0.0,0.0,0.0,0.0,0.0,0.0
"viva sem medo, sem medo dos desafios, sem medo de enfrentar o que parece impossível 💬💬💬",0.0,0.0,0.0,0.0,0.0,0.0
"eu sou muito idiota mano kkkkkkk obrigada deus pelos sinais, agora eu aprendo",0.0,0.0,0.0,0.0,0.0,0.0
"bk, e isso ja aconteceu demais",0.0,0.0,0.0,0.0,0.0,0.0
"@user ouráiti!
mas mesmo assim queremos outro pgr! 💚💛🙌",0.0,0.0,0.0,0.0,0.0,0.0
"tem tanta opção de role hoje, n sei pra onde vou, no final vou acabar não indo pra nenhum",0.0,0.0,0.0,0.0,0.0,0.0
me preparando psicologicamente para a msg de arthur dizendo q morgou do role,0.0,0.0,1.0,0.0,0.0,0.0
gente pq vocês estão colocando esses quadradinhos nos nomes de vocês? não dá pra ler nada poxa,0.0,0.0,0.0,0.0,0.0,0.0
"—[👼] Em 2014, Melanie lançou seu primeiro clipe ""Dollhouse"". O video foi gravado com a arrecadação de fundos com a ajuda de fãs que já a acompanhavam. No mesmo ano, ela anunciou que havia assinado com a ""Atlantic Records"", e logo lançou seu primeiro EP.",0.0,0.0,0.0,0.0,0.0,0.0
"🔺NOTÍCIA NA TV PORTUGUESA!🔻

Acabou de passar na TVI24 (canal português) que há um manifesto no congresso para impedir a visita do presidente Jair Bolsonaro no próximo ano, sob pretexto de que ele NÃO É BEM VINDO!

Tentei gravar, mas ficou pela metade 😕",0.0,0.0,0.0,0.0,0.0,0.0
@user @user @user alguém tá mentindo.,0.0,0.0,0.0,0.0,0.0,0.0
"@user @user @user @user @user @user @user @user @user @user @user @user Uma das Mulheres que mais Amei Conhecer 😍

Linda e Fascinante!

Estar ao seu lado, é um Momento Único e Inesquecível",0.0,0.0,0.0,0.0,0.0,0.0
@user @user @user tá pegando fogoooo,0.0,0.0,0.0,0.0,0.0,0.0
@user tens como provar isso com documentos?,0.0,0.0,0.0,0.0,0.0,0.0
"bom, vou sair de casa agora! ontem foi o dia do perdeu, perdi muita coisa uahuashaushausa o celular é uma delas, entón eu vou trampar, pq mais um mês se iniciou e este será o melhor mês do ano!",0.0,0.0,0.0,0.0,0.0,0.0
"ser amigo meu td bem, agr querer controlar quem devo ficar, oq devo fazer não, vai tomar no cu",0.0,1.0,1.0,0.0,0.0,0.0
"@user deixa eu fumar meu narguines, respeitar ok?",0.0,0.0,0.0,0.0,0.0,0.0
mano queria ter férias,0.0,0.0,0.0,0.0,0.0,0.0
@user operação lava jato faz operação para proteger operação lava jato,0.0,0.0,0.0,0.0,0.0,0.0
ainda indignada com o show do 3030 de graça em cg que não vou poder ir,0.0,0.0,0.0,0.0,0.0,0.0
"toda vez que persegue alguém, bolsonaro cria potenciais nomes de congressistas para a próxima legislatura.",0.0,0.0,0.0,0.0,0.0,0.0
"@user aqui em casa, amiga? kakak",0.0,0.0,0.0,0.0,0.0,0.0
aí eu to com muita saudades vai tomar no cu ;(((!,0.0,1.0,0.0,0.0,0.0,0.0
só quero chegar em angra logo,0.0,0.0,0.0,0.0,0.0,0.0
